FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence
9a6e4de00f6d3735063961d6cd04db8c	Bacteria	Actinobacteriota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	uncultured_Rubrobacter	0.718054227
f2af82618fa615148c5a3cea24d9c1fc	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	Unclassified	0.999977429
9ab3818011a4e485e20a55a41fc49951	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	Kouleothrix	Unclassified	0.954765627
eef688d4b579774acd47036b62f7bf89	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	Unclassified	Unclassified	0.821489811
8359b062159b9cce2b3cadda739fe94a	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	Unclassified	0.99999898
b84c606585eaeadfaf28863d9310f846	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	Unclassified	0.993249766
a7248cc0f6bff651c135f63ba1799722	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Unclassified	0.974197397
0015497af0d851913561aaac22047c96	Bacteria	NA	NA	NA	NA	Unclassified	Unclassified	0.999999975
59952e5c7d20641dbe355c64a3fe2115	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Ketobacter	uncultured_soil	0.946657375
84ff0f53de3ed77527d4b77bd6e863be	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	Unclassified	0.998602632
466355e2ac6a24aedd27c5cdd9d3603a	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella	Unclassified	0.999358704
a1c62d328edd7316f4a132e24ed5ca57	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	Unclassified	0.999981781
10f303e733565f86d059e45c9e89b41c	Bacteria	Myxococcota	Polyangia	Polyangiales	BIrii41	BIrii41	uncultured_bacterium	0.862751338
84782ab23d4084f04d4fecb83300d72a	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	Unclassified	0.998823269
0be1be40e23bfab1397fc527f44aeca6	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	uncultured_Myxococcales	0.951552856
88937ce1da27ed83cea1e3da697056b2	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus	Unclassified	0.709853842
2ac8f9084300068f2a803021153735fb	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	Unclassified	Unclassified	0.957140677
8236409ba42fc72021ed66f989030507	Bacteria	Firmicutes	NA	NA	NA	Unclassified	Unclassified	0.775856001
ed6f88cea8eb80b72618a618e2222ce9	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	bacterium	0.957418626
d49f0048437aa290c1429625890863f4	Bacteria	Firmicutes	NA	NA	NA	Unclassified	Unclassified	0.999284512
35a5428a45852e13084f8630481b3b73	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Armatimonadales	Armatimonadales	Unclassified	0.99984102
45cfbec96ab331b182e6037a41ab01d0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	metagenome	0.896917411
a6009a422a0b35abb6a0e40e0a464ec3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidetes_VC2.1_Bac22	Bacteroidetes_VC2.1_Bac22	Bacteroidetes_VC2.1_Bac22	metagenome	0.999088405
98525652cf0f9c9c3fd8f54f2c7bbca3	Bacteria	Patescibacteria	NA	NA	NA	Unclassified	Unclassified	0.73163319
1a1b0eb4ae45c328e863bf99a39eb567	Bacteria	NA	NA	NA	NA	Unclassified	Unclassified	0.99999735
cec02d2b3a3dfd126c12bef06d6ac1e8	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloronema	Unclassified	0.720080442
c89924480382c232cb240660cfceead0	Bacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	Unclassified	0.941455432
080fb2db7ddf0108533dc9d4d3493ff2	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacteriia_bacterium	0.996793206
5e669f3096c14c1de55bc3a8b9658aaf	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Unclassified	Unclassified	0.999904814
9ef9e6e6db2fdc448ea82478e7dadcb0	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	Unclassified	0.731109317
48e3d2b25c775ebdfb6b7da5e87fc75b	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unclassified	0.976279661
92be6e90fc987ce20c1fc8faa0146a76	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unclassified	0.951619719
ef4792ff53ecf050724c691030484c4e	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Unclassified	0.998442823
0111e4b6d3e3961e13b8d6386782eb78	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	Unclassified	bacterium_Ellin6517	0.999200033
72a4005d936ddd7a749e1a027232dbd6	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	Unclassified	Unclassified	0.986992684
34c3e9f2f1290f195c76ca949770c46f	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	Unclassified	uncultured_bacterium	0.881723425
9bc7f71847d348ab27bb2bbf95d4f09f	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	Unclassified	Unclassified	0.992767964
040bcf93e517b88838126ffd085987ad	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	Unclassified	Gaiella_sp.	0.826909529
63d80571ce227231e264fb0d146fffb5	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	NA	Unclassified	Unclassified	0.995960222
d7166b921003bca8042465b6f9c6be1f	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	Unclassified	Unclassified	0.969081107
bb60328fe40cdda8eae2bcd581fbc980	Bacteria	Chloroflexi	TK10	TK10	TK10	TK10	uncultured_bacterium	0.92569781
6e071353f478d21b7af114e84d0117f1	Bacteria	Actinobacteriota	Actinobacteria	Nitriliruptorales	Nitriliruptoraceae	Nitriliruptor	Unclassified	0.807788415
0ad5b16eacf5b37c0bde4644be1f7284	Bacteria	Bdellovibrionota	Oligoflexia	Silvanigrellales	Silvanigrellaceae	Unclassified	uncultured_bacterium	0.932344861
2d02866022748fa9719e52b69b024585	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales	Ardenticatenaceae	Unclassified	unidentified_marine	0.988915746
7d0e59b24be2bba3b30ff8b581129dcb	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	Unclassified	Unclassified	0.98513738
59388bb4319f5104f8c4a5d0bc2e3cd6	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unclassified	0.998131552
c5c76c341a9c3fb119141e6d01300703	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	AKIW781	uncultured_bacterium	0.93400159
