FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence
e33b6fcf16bdf0f36522c159a4af476e	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	Chitinophaga_sedimenti	0.938662574
32e9fc8c6eb458578b0421fd7a8d7c21	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	Chitinophaga_sedimenti	0.944013468
d35a739cda83b74f8f6f80bd664d1f8c	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	nan	0.851060598
f15c7ee3b68c4b401bf2a64bf8327f49	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	nan	nan	0.999891272
c002f1101dddc72dc252298a1e8f36c8	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	nan	0.995249989
d5e37a39922f1c1f3f3a4cd77ee71cac	Bacteria	Firmicutes	Clostridia	Clostridia_vadinBB60_group	Clostridia_vadinBB60_group	Clostridia_vadinBB60_group	uncultured_bacterium	0.956260689
7acd061efa707c6542647d34a08bc118	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	uncultured_Ferruginibacter	0.976271897
afbc88e684766d6da14bdc2126088ff3	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	uncultured_Ferruginibacter	0.983876162
2cfe9d3a0a71571ed3a5cb5b53048176	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	uncultured_Ferruginibacter	0.986055948
e14d29882d0b8adad45e29acba18e1ac	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	nan	0.73717527
17565226b69f7243b226c7ef401fc247	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	nan	0.999852911
209582634aa552bf315044f196e86bc2	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	nan	0.999935331
dc15143971a447f7e4bb181286790357	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	nan	0.999083293
a680768609cdb255ad49711b1e41b7f4	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	nan	0.999778034
d4a249c96438c918b05659def2256b43	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	nan	0.999780519
f1ba62ea64b0d2e502a5cbc7d6ad351c	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	nan	0.999569626
f23c45af92e42f99b2e5363b8780d574	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	nan	0.999844065
38dab200a0059a7405f1c3eda2e14cc1	Bacteria	nan	nan	nan	nan	nan	nan	0.999965539
3c89f3080cc9ae42e8ae6073b4a36ed8	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	uncultured_Sphingobacteriales	0.800933866
01a94a717b8933e5225ce3e926c4510b	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales	Ardenticatenaceae	uncultured	uncultured_Caldilinea	0.919380578
2cbd1142d682fb5dcf820732b4447a9c	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	nan	0.992635395
194ffdc084fea292e3840e682e039bf9	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	nan	0.981200175
96f57d4e954fcf7e0e96211b4133b6db	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	nan	0.999031332
